"","SCC","Data.Category","Short.Name","EI.Sector","Option.Group"
"152","10201301","Point","Ext Comb /Industrial /Liquid Waste /Specify Waste Material in Comments","Fuel Comb - Industrial Boilers, ICEs - Other",""
"153","10201302","Point","Ext Comb /Industrial /Liquid Waste /Waste Oil","Fuel Comb - Industrial Boilers, ICEs - Other",""
"154","10201303","Point","Ext Comb /Industrial /Liquid Waste /Salable Animal Fat","Fuel Comb - Industrial Boilers, ICEs - Other",""
"155","10201401","Point","Ext Comb /Industrial /CO Boiler /Natural Gas","Fuel Comb - Industrial Boilers, ICEs - Other",""
"156","10201402","Point","Ext Comb /Industrial /CO Boiler /Process Gas","Fuel Comb - Industrial Boilers, ICEs - Other",""
"157","10201403","Point","Ext Comb /Industrial /CO Boiler /Distillate Oil","Fuel Comb - Industrial Boilers, ICEs - Other",""
"158","10201404","Point","Ext Comb /Industrial /CO Boiler /Residual Oil","Fuel Comb - Industrial Boilers, ICEs - Other",""
"159","10201601","Point","Ext Comb /Industrial /Methanol","Fuel Comb - Industrial Boilers, ICEs - Other",""
"160","10201701","Point","Ext Comb /Industrial /Gasoline","Fuel Comb - Industrial Boilers, ICEs - Other",""
"161","10300101","Point","Ext Comb /Comm-Inst /Anthracite Coal /Pulverized Coal","Fuel Comb - Comm/Institutional - Coal",""
"162","10300102","Point","Ext Comb /Comm-Inst /Anthracite Coal /Traveling Grate (Overfeed) Stoker","Fuel Comb - Comm/Institutional - Coal",""
"163","10300103","Point","Ext Comb /Comm-Inst /Anthracite Coal /Hand-fired","Fuel Comb - Comm/Institutional - Coal",""
"164","10300203","Point","Ext Comb /Comm-Inst /Bituminous Coal /Cyclone Furnace","Fuel Comb - Comm/Institutional - Coal",""
"165","10300205","Point","Ext Comb /Comm-Inst /Bituminous Coal /Pulverized Coal: Wet Bottom","Fuel Comb - Comm/Institutional - Coal",""
"166","10300206","Point","Ext Comb /Comm-Inst /Bituminous Coal /Pulverized Coal: Dry Bottom","Fuel Comb - Comm/Institutional - Coal",""
"167","10300207","Point","Ext Comb /Comm-Inst /Bituminous Coal /Overfeed Stoker","Fuel Comb - Comm/Institutional - Coal",""
"168","10300208","Point","Ext Comb /Comm-Inst /Bituminous Coal /Underfeed Stoker","Fuel Comb - Comm/Institutional - Coal",""
"169","10300209","Point","Ext Comb /Comm-Inst /Bituminous Coal /Spreader Stoker","Fuel Comb - Comm/Institutional - Coal",""
"170","10300211","Point","Ext Comb /Comm-Inst /Bitum/Subbit Coal /Overfeed Stoker **","Fuel Comb - Comm/Institutional - Coal",""
"171","10300214","Point","Ext Comb /Comm-Inst /Bituminous Coal /Hand-fired","Fuel Comb - Comm/Institutional - Coal",""
"172","10300216","Point","Ext Comb /Comm-Inst /Bituminous Coal /Pulverized Coal: Dry Bottom (Tangential)","Fuel Comb - Comm/Institutional - Coal",""
"173","10300217","Point","Ext Comb /Comm-Inst /Bituminous Coal /Atmospheric Fluidized Bed Combustion: Bubbling Bed","Fuel Comb - Comm/Institutional - Coal",""
"174","10300218","Point","Ext Comb /Comm-Inst /Bituminous Coal /Atmospheric Fluidized Bed Combustion: Circulating Bed","Fuel Comb - Comm/Institutional - Coal",""
"175","10300221","Point","Ext Comb /Comm-Inst /Subbituminous Coal /Pulverized Coal: Wet Bottom","Fuel Comb - Comm/Institutional - Coal",""
"176","10300222","Point","Ext Comb /Comm-Inst /Subbituminous Coal /Pulverized Coal: Dry Bottom","Fuel Comb - Comm/Institutional - Coal",""
"177","10300223","Point","Ext Comb /Comm-Inst /Subbituminous Coal /Cyclone Furnace","Fuel Comb - Comm/Institutional - Coal",""
"178","10300224","Point","Ext Comb /Comm-Inst /Subbituminous Coal /Spreader Stoker","Fuel Comb - Comm/Institutional - Coal",""
"179","10300225","Point","Ext Comb /Comm-Inst /Subbituminous Coal /Traveling Grate (Overfeed) Stoker","Fuel Comb - Comm/Institutional - Coal",""
"180","10300226","Point","Ext Comb /Comm-Inst /Subbituminous Coal /Pulverized Coal: Dry Bottom Tangential","Fuel Comb - Comm/Institutional - Coal",""
"181","10300300","Point","Ext Comb /Comm-Inst /Lignite /Pulverized Coal: Wet Bottom","Fuel Comb - Comm/Institutional - Coal",""
"182","10300305","Point","Ext Comb /Comm-Inst /Lignite /Pulverized Coal: Dry Bottom, Wall Fired","Fuel Comb - Comm/Institutional - Coal",""
"183","10300306","Point","Ext Comb /Comm-Inst /Lignite /Pulverized Coal: Dry Bottom, Tangential Fired","Fuel Comb - Comm/Institutional - Coal",""
"184","10300307","Point","Ext Comb /Comm-Inst /Lignite /Traveling Grate (Overfeed) Stoker","Fuel Comb - Comm/Institutional - Coal",""
"185","10300309","Point","Ext Comb /Comm-Inst /Lignite /Spreader Stoker","Fuel Comb - Comm/Institutional - Coal",""
"186","10300401","Point","Ext Comb /Comm-Inst /Residual Oil /Grade 6 Oil","Fuel Comb - Comm/Institutional - Oil",""
"187","10300402","Point","Ext Comb /Comm-Inst /Residual Oil /10-100 Million Btu/hr **","Fuel Comb - Comm/Institutional - Oil",""
"188","10300403","Point","Ext Comb /Comm-Inst /Residual Oil /< 10 Million Btu/hr **","Fuel Comb - Comm/Institutional - Oil",""
"189","10300404","Point","Ext Comb /Comm-Inst /Residual Oil /Grade 5 Oil","Fuel Comb - Comm/Institutional - Oil",""
"190","10300501","Point","Ext Comb /Comm-Inst /Distillate Oil /Grades 1 and 2 Oil","Fuel Comb - Comm/Institutional - Oil",""
